year,Base case cost,Modeled solar power (pv)
2016,313471.643902,319410.903046
2017,362196.330313,367815.269782
2018,397918.744138,403311.129358
2019,445577.382983,450665.476688
2020,467350.35769,472313.384092
2021,482099.086927,486988.608873
2022,493160.633855,498002.515755
2023,501456.79405,506270.22265
2024,507909.363091,512707.051384
2025,515283.72771,520060.16309
2026,524501.683483,529245.562293
2027,532378.860516,537096.798097
2028,538402.298013,543106.592501
2029,546685.410291,551364.92365
2030,552207.485142,556880.054185
2031,561410.943228,566054.120221
2032,570164.973008,574779.448664
2033,579361.18225,583947.638113
2034,589012.361538,593565.910956
2035,594974.908749,599518.362792
