year,Base case cost,Modeled non-residential ashp
2017,484503.28558,580593.399727
2018,512897.688538,608532.437617
2019,550756.89248,645784.488138
2020,568230.371223,662977.742224
2021,579879.357052,674439.911615
2022,588616.096423,683036.538658
2023,595168.650952,689484.00894
2024,600265.082252,694498.708048
2025,606089.575166,700229.792744
2026,613370.191309,707393.648613
2027,619922.745837,713841.118895
2028,625019.177137,718855.818004
2029,631571.731666,725303.288286
2030,635940.101352,729601.601808
2031,643220.717494,736765.457677
