year,Base case cost,Modeled non-residential ashp
2017,15772.1435483,27644.5836354
2018,17384.2093732,27596.8101807
2019,19687.1605518,27757.4279272
2020,20781.0623616,27585.7174387
2021,21529.5214946,27327.0622343
2022,22105.2592892,27030.3281021
2023,22508.2757454,26695.2560298
2024,22853.7184222,26354.347028
2025,23199.161099,26023.7311004
2026,23717.3251142,25752.2980471
2027,24120.3415704,25457.9272065
2028,24465.7842472,25156.765504
2029,24926.3744829,24897.7193441
2030,25156.6696007,24582.3072068
2031,25674.8336159,24357.7079538
