year,Base case cost,Modeled transmission and interties
2021,2135040.46145,3057946.58779
2022,2207488.85792,3141570.66227
2023,2267118.91641,3203092.20645
2024,2312939.16325,3257551.38362
2025,2366229.51037,3316170.10681
2026,2432934.71397,3393546.0975
2027,2487200.19178,3457345.3788
2028,2535849.13475,3510955.19653
2029,2597699.11365,3578740.71406
2030,2635189.89224,3619946.23753
2031,2704053.73011,3699782.98321
2032,2778697.53253,3786186.51111
2033,2856138.70706,3875780.86065
2034,2941816.73966,3970294.74332
2035,3000087.60761,4038968.35726
2036,3085950.86056,4133662.50891
2037,3144671.16025,4202871.70282
2038,3233669.54006,4305357.19316
2039,3311576.4893,4391544.15462
2040,3414500.44348,4509566.76206
