year,Base case cost,Modeled non-residential ashp
2017,11802.2245351,51200.0621378
2018,12907.7002808,51549.758668
2019,14422.6114879,52238.3412149
2020,15200.5388645,52351.5265257
2021,15691.8614181,52248.0973713
2022,16101.2968795,52090.9879653
2023,16346.9581563,51814.6412537
2024,16592.6194331,51549.3617503
2025,16838.28071,51294.8900956
2026,17165.8290791,51116.2580838
2027,17452.433902,50915.2906873
2028,17698.0951788,50691.7463145
2029,17984.7000018,50510.6741946
2030,18189.4177325,50273.9162592
2031,18516.9661016,50144.4602874
