year,annotation,consumption,consumption residential,consumption non-residential
2013,,406700.0,149132.0,257568.0
2014,start of forecast,407080.0,149512.0,257568.0
2015,,407468.0,149900.0,257568.0
2016,,407952.0,150384.0,257568.0
2017,,408451.0,150883.0,257568.0
2018,,408923.0,151355.0,257568.0
2019,,409385.0,151817.0,257568.0
2020,,409940.0,152372.0,257568.0
2021,,410428.0,152860.0,257568.0
2022,,410929.0,153361.0,257568.0
2023,,411308.0,153740.0,257568.0
2024,,411702.0,154134.0,257568.0
2025,,412127.0,154559.0,257568.0
2026,,412649.0,155081.0,257568.0
2027,,413177.0,155609.0,257568.0
2028,,413782.0,156214.0,257568.0
2029,,414385.0,156817.0,257568.0
2030,,414902.0,157334.0,257568.0
2031,,415415.0,157847.0,257568.0
2032,,415930.0,158362.0,257568.0
2033,,416436.0,158868.0,257568.0
2034,,416925.0,159357.0,257568.0
2035,,417352.0,159784.0,257568.0
2036,,417799.0,160231.0,257568.0
2037,,418205.0,160637.0,257568.0
2038,,418589.0,161021.0,257568.0
2039,,419003.0,161435.0,257568.0
2040,,419338.0,161770.0,257568.0
