year,Base case cost,Modeled residential ashp
2017,182934.475914,331317.494991
2018,197308.806369,339359.741902
2019,211434.344856,345856.207841
2020,223338.678411,352630.268297
2021,233176.358373,358164.000785
2022,236514.157442,357718.816956
2023,244200.520184,361989.734313
2024,246637.577142,361073.594931
2025,254482.684184,365626.29571
2026,262942.198056,370700.871377
2027,265485.084547,370068.690861
2028,273605.348374,375070.502861
2029,282361.184938,380611.278593
2030,289623.038468,385167.755478
2031,299152.026162,391436.504525
