year,Base case cost,Modeled non-residential ashp
2017,223683.376801,255862.478271
2018,244842.410258,275764.659683
2019,270993.125804,300457.854681
2020,283778.650557,312112.720733
2021,292313.35531,319768.522636
2022,299031.620855,325654.416495
2023,303315.395609,329244.000848
2024,311562.61065,336648.412271
2025,315913.136987,340333.527678
2026,321496.383325,345162.8198
2027,326470.490455,349406.954277
2028,330208.716792,352449.292883
2029,340107.629756,361633.986797
2030,343315.442431,364263.481005
2031,349005.202729,369263.984467
