year,annotation,consumption,consumption residential,consumption non-residential
2003,,340495.0,129555.0,210940.0
2004,,331123.0,126820.0,204303.0
2005,,322624.0,114190.0,208434.0
2006,,313981.0,113677.0,200304.0
2007,,344703.0,120166.0,224537.0
2008,,329684.0,134991.0,194693.0
2009,,379001.0,132037.0,246964.0
2010,,376685.0,145357.0,231328.0
2011,,370711.0,157790.0,212921.0
2012,,358281.0,148968.0,209313.0
2013,,333516.0,122101.0,211415.0
2014,,350205.0,134989.0,215216.0
2015,,351459.0,135185.0,216274.0
2016,start of forecast,345539.0,131237.0,214302.0
2017,,345492.0,131190.0,214302.0
2018,,345461.0,131160.0,214302.0
2019,,345452.0,131150.0,214302.0
2020,,345435.0,131134.0,214302.0
2021,,345400.0,131098.0,214302.0
2022,,345332.0,131030.0,214302.0
2023,,345226.0,130924.0,214302.0
2024,,345145.0,130844.0,214302.0
2025,,345089.0,130787.0,214302.0
2026,,345068.0,130767.0,214302.0
2027,,345030.0,130728.0,214302.0
2028,,344977.0,130676.0,214302.0
2029,,345089.0,130787.0,214302.0
2030,,345157.0,130855.0,214302.0
2031,,345179.0,130878.0,214302.0
2032,,345084.0,130782.0,214302.0
2033,,344958.0,130656.0,214302.0
2034,,344841.0,130539.0,214302.0
2035,,344761.0,130459.0,214302.0
2036,,344735.0,130433.0,214302.0
2037,,344754.0,130452.0,214302.0
2038,,344761.0,130459.0,214302.0
2039,,344721.0,130419.0,214302.0
2040,,344651.0,130349.0,214302.0
