year,Base case cost,Modeled residential ashp
2017,261331.854789,517626.986455
2018,286958.50247,538881.079886
2019,323318.34247,570694.600961
2020,339837.31735,583236.056265
2021,352219.629668,591825.263322
2022,361295.921987,597270.77592
2023,367066.554306,599571.03626
2024,372827.741504,601939.886556
2025,378597.393823,604393.408138
2026,386000.2159,608514.269644
2027,392599.510779,611924.404726
2028,391606.373395,607833.205025
2029,398053.587791,611231.541213
2030,402880.504748,613117.514546
2031,410151.696825,617453.486419
