year,Base case cost,Modeled non-residential ashp
2017,730061.519585,783717.275264
2018,806637.581374,844670.282883
2019,910562.236659,927392.221794
2020,962524.564302,968753.19125
2021,995342.876498,994875.908801
2022,1022691.46999,1016644.84009
2023,1041835.48544,1031883.092
2024,1055509.78219,1042767.55764
2025,1074653.79764,1058005.80955
2026,1096532.67243,1075420.95458
2027,1115676.68788,1090659.20649
2028,1132085.84398,1103720.56526
2029,1151229.85943,1118958.81717
2030,1164904.15617,1129843.28281
2031,1186783.03097,1147258.42785
