year,Base case cost,Modeled transmission and interties
2021,97113.2970795,1752540.04341
2022,99280.1252091,1754400.36383
2023,100659.015837,1755640.57744
2024,101840.922089,1756570.73765
2025,103219.812717,1757810.95126
2026,104795.687721,1759361.21828
2027,106174.578349,1760601.43189
2028,107356.484601,1761686.6188
2029,108932.359604,1763081.85912
2030,109917.281482,1763856.99262
2031,111493.156485,1765407.25964
2032,113266.015864,1766957.52666
2033,114841.890867,1768507.79367
2034,116614.750246,1770058.06069
2035,117796.656498,1771143.2476
2036,118989.081334,1772232.19729
2037,120554.437754,1773778.70152
2038,122327.297133,1775328.96854
2039,123706.187761,1776569.18215
2040,125479.047139,1778274.47587
