year,Base case diesel consumed,Modeled solar power (pv)
2016,49945.4689143,49146.769027
2017,50023.7533483,49231.4430601
2018,50102.0377824,49316.0659764
2019,50180.3222164,49400.6381849
2020,50180.3222164,49406.8756572
2021,50258.6066504,49491.3476637
2022,50336.8910845,49575.7701696
2023,50415.1755185,49660.143571
2024,50415.1755185,49666.1838266
2025,50493.4599525,49750.4601941
2026,50571.7443866,49834.6886262
2027,50650.0288206,49918.8695063
2028,50650.0288206,49924.7187809
2029,50728.3132546,50008.8056952
2030,50806.5976887,50092.8461897
2031,50884.8821227,50176.8406357
2032,50963.1665567,50260.7894017
2033,51041.4509908,50344.692853
2034,51041.4509908,50350.2669181
2035,51119.7354248,50434.0808247
