year,Base case cost,Modeled residential ashp
2017,873997.174366,1112785.71156
2018,939728.29999,1164741.26236
2019,1029758.76653,1238244.84305
2020,1076969.67245,1274458.17598
2021,1118189.42294,1306478.4331
2022,1145945.76826,1326001.64435
2023,1168761.83343,1341340.59912
2024,1188466.06255,1354113.48172
2025,1217152.32756,1375789.77355
2026,1242456.9941,1393795.72669
2027,1266194.81064,1410564.45615
2028,1286607.72869,1424542.14427
2029,1310711.49508,1441913.32386
2030,1329577.77192,1454782.43046
2031,1355805.88693,1474296.40056
