year,Base case cost,Modeled non-residential ashp
2017,2716214.31042,2956570.81963
2018,2859790.29688,3099265.59588
2019,3087900.78164,3326113.01267
2020,3184641.09607,3422295.22729
2021,3266332.40046,3503575.30025
2022,3327982.8726,3564932.03565
2023,3379678.03858,3616392.21224
2024,3426946.87765,3663514.18294
2025,3474055.05023,3710416.7398
2026,3520758.394,3756855.72051
2027,3557083.21693,3792974.92772
2028,3599474.17622,3835189.64497
2029,3652504.09613,3887984.57549
2030,3678613.1731,3913946.78409
2031,3725609.51164,3960678.75956
