year,Base case cost,Modeled transmission and interties
2021,671711.70968,2139273.21987
2022,697941.53875,2145466.99685
2023,717441.365376,2146807.85625
2024,737190.012515,2147067.95239
2025,757187.480167,2148974.13142
2026,781100.908748,2155499.70074
2027,802840.11999,2160145.71964
2028,821107.692647,2161539.25402
2029,843999.179836,2169255.20033
2030,860799.007682,2169940.39159
2031,885427.795238,2179352.02879
2032,912282.63774,2190535.57073
2033,936801.825784,2200591.24191
2034,963550.030924,2213394.47423
2035,983421.607245,2219276.28925
2036,1010717.80994,2233393.09484
2037,1030276.87955,2239640.61127
2038,1058106.26906,2255021.37674
2039,1079333.02853,2264749.89204
2040,1109746.89301,2283549.76976
