year,Base case cost,Buckland (hunter creek)
2021,612726.428295,2994182.93078
2022,630680.036346,2960029.38853
2023,645969.219353,2925257.84218
2024,658724.755296,2889671.34763
2025,671746.716448,2855141.06707
2026,686900.20281,2822904.71458
2027,697629.079832,2788186.66147
2028,706288.529169,2752414.97242
2029,717987.905119,2720374.28733
2030,720893.700522,2681411.49228
2031,733920.456803,2652312.04374
2032,748329.498248,2625217.82732
2033,761416.003904,2598004.19225
2034,773578.79181,2570446.98976
2035,780759.872529,2539972.13771
2036,791894.002272,2513086.93254
2037,797096.894217,2482294.68866
2038,807713.489891,2456814.73361
2039,815962.743134,2430050.88639
2040,829146.090255,2408082.59846
2041,826635.001647,2374476.1925
2042,824123.91304,2341598.58231
2043,821612.824433,2309432.68909
2044,819101.735826,2277961.83008
2045,815083.994054,2245663.06306
2046,815083.994054,2218044.87314
2047,812572.905447,2188562.89698
2048,812070.687725,2161721.92119
2049,809559.599118,2133489.38877
2050,809057.381397,2107868.5743
