year,Base case cost,Buckland/deering/noorvik wind farm construction,Modeled wind power
2017,451074.986809,775081.94634,
2018,498114.643685,805584.238265,
2019,561207.23254,849707.149688,704400.077645
2020,589690.992483,865134.179145,727850.895128
2021,612726.428295,876965.84297,746424.190908
2022,630680.036346,884848.655019,760275.032667
2023,645969.219353,890957.265175,771749.111568
2024,658724.755296,895179.795657,780905.537503
2025,671746.716448,899596.6311,790333.086104
2026,686900.20281,905591.841752,801755.438569
2027,697629.079832,908036.86994,809033.770332
2028,706288.529169,908567.483313,814312.088935
2029,717987.905119,912050.839393,822628.286124
2030,720893.700522,907604.140127,822426.60965
2031,733920.456803,912468.511457,832131.197597
2032,748329.498248,918617.587139,843211.366962
2033,761416.003904,923820.370712,853100.489089
2034,773578.79181,927995.324828,862056.265195
2035,780759.872529,928274.130714,866368.474581
2036,791894.002272,931679.951805,874411.807484
2037,797096.894217,,876859.319305
2038,807713.489891,,884565.785418
