year,Base case diesel consumed,Buckland/deering/noorvik wind farm construction,Modeled wind power
2017,129992.791588,101821.115669,
2018,130396.503582,102224.827664,
2019,131123.185173,102951.509254,122876.368277
2020,131042.442774,102870.766855,122795.625878
2021,131769.124364,103597.448446,123522.307468
2022,132495.805955,104324.130036,124248.989059
2023,133464.714742,105293.038824,125217.897846
2024,134433.62353,106261.947611,126186.806634
2025,135160.30512,106988.629202,126913.488224
2026,135483.274716,107311.598798,127236.45782
2027,135725.501913,107553.825994,127478.685017
2028,135564.017115,107392.341196,127317.200219
2029,135725.501913,107553.825994,127478.685017
2030,134998.820322,106827.144404,126752.003426
2031,135160.30512,106988.629202,126913.488224
2032,135321.789918,107150.114,127074.973022
2033,135483.274716,107311.598798,127236.45782
2034,135241.047519,107069.371601,126994.230623
2035,135079.562721,106907.886803,126832.745825
2036,134675.850727,106504.174808,126429.033831
2037,134191.396333,,125944.579437
2038,133949.169136,,125702.35224
