year,annotation,diesel generation efficiency
2002,,13.06
2003,,13.22
2004,,12.96
2005,,13.31
2006,,11.6
2007,,12.68
2008,,13.3
2009,,12.06
2010,,13.06
2011,,13.72
2012,,13.26
2013,,13.72
2014,,13.54
2015,,13.74
2016,start of forecast,12.95
2017,,12.95
2018,,12.95
2019,,12.95
2020,,12.95
2021,,12.95
2022,,12.95
2023,,12.95
2024,,12.95
2025,,12.95
2026,,12.95
2027,,12.95
2028,,12.95
2029,,12.95
2030,,12.95
2031,,12.95
2032,,12.95
2033,,12.95
2034,,12.95
2035,,12.95
2036,,12.95
2037,,12.95
2038,,12.95
2039,,12.95
2040,,12.95
