year,Base case cost,Modeled residential ashp
2017,174920.795512,269476.45205
2018,191305.053944,284325.686024
2019,206899.194876,297816.274921
2020,218058.931657,307895.809305
2021,225107.186465,314261.831021
2022,230980.732139,319566.849118
2023,226731.416688,314976.41712
2024,230138.725178,318042.609064
2025,225538.952985,313101.720325
2026,229926.272421,317034.217699
2027,233765.176927,320475.152901
2028,228639.719621,315008.579049
2029,232342.335394,318313.225518
2030,226337.476236,312024.102572
2031,230413.278568,315645.082842
