year,Base case cost,Modeled residential ashp
2017,6624.820117,41223.9778012
2018,7389.77687977,40088.9236694
2019,8489.40222625,38766.0878309
2020,8243.16609345,37035.2710362
2021,8571.02844906,36162.6033344
2022,8833.31833355,35354.3050446
2023,9008.17825654,34626.615407
2024,9139.32319878,33946.0357502
2025,8441.7161999,32373.4445204
2026,8639.81701901,31632.9822944
2027,8798.2976743,30942.7671088
2028,8936.96824768,30283.8651678
2029,9115.25898488,29600.0911791
2030,8261.99354251,28050.6150724
2031,8457.38295044,27330.9700038
