year,Base case cost,Modeled transmission and interties
2021,629377.770244,2735969.72869
2022,645672.340347,2734948.13485
2023,657668.577601,2727069.93101
2024,667621.037235,2715109.40551
2025,679833.617185,2706558.32252
2026,693844.41536,2702934.51441
2027,705811.435915,2697431.46876
2028,715736.765758,2687794.20823
2029,729970.16735,2686224.15737
2030,737851.023937,2675223.25087
2031,753854.122692,2674526.72467
2032,767814.835098,2674130.42787
2033,782033.628341,2674636.79964
2034,798010.292939,2677662.52727
2035,807886.232649,2671585.62416
2036,823842.723813,2675535.76834
2037,833702.663902,2670367.47934
2038,849638.981632,2675197.84204
2039,861510.004464,2675571.5204
2040,879451.839851,2681440.98527
