year,Base case cost,Modeled solar power (pv)
2016,375159.103272,404543.238023
2017,446520.889221,474086.719888
2018,499362.070899,525429.927299
2019,570504.731609,594821.671147
2020,605142.518885,628303.742903
2021,629377.770244,651562.284255
2022,645672.340347,667024.269783
2023,657668.577601,678267.779633
2024,667621.037235,687515.301671
2025,679833.617185,699009.710713
2026,693844.41536,712289.448733
2027,705811.435915,723571.815229
2028,715736.765758,732857.820209
2029,729970.16735,746409.146612
2030,737851.023937,753710.104775
2031,753854.122692,769033.248765
2032,767814.835098,782357.953179
2033,782033.628341,795955.579687
2034,798010.292939,811297.730454
2035,807886.232649,820636.732712
