year,Base case cost,Modeled non-residential ashp
2017,35448.6556914,104401.265098
2018,38011.911818,105141.037866
2019,41376.1854842,106391.021929
2020,42978.2205633,106580.380403
2021,44019.5433647,106444.783627
2022,44900.6626582,106229.168464
2023,45461.3749359,105834.961228
2024,45861.8837057,105359.89566
2025,46422.5959834,104999.864143
2026,47143.511769,104754.470951
2027,47704.2240467,104427.031993
2028,48104.7328165,104017.169826
2029,48745.5468481,103769.887943
2030,49146.0556179,103390.379956
2031,49786.8696496,103172.74081
