year,Base case cost,Modeled non-residential ashp
2017,682203.176687,715605.012619
2018,763684.118165,791704.315322
2019,873923.038988,896208.654602
2020,926646.001121,944189.562664
2021,961794.642543,974962.525567
2022,988954.956369,997961.636465
2023,1008126.9426,1013184.79336
2024,1022505.93227,1023775.35872
2025,1041677.9185,1039167.57352
2026,1064045.23577,1057786.7725
2027,1083217.222,1073340.2135
2028,1099193.87719,1085826.02953
2029,1119963.52894,1103105.93539
2030,1132744.85309,1112596.48979
2031,1155112.17036,1131595.73762
