year,Base case cost,Modeled non-residential ashp
2017,864461.720244,1270914.42532
2018,945433.020355,1349620.27135
2019,1056393.69088,1457476.43072
2020,1113373.49466,1512862.02608
2021,1149360.73915,1547842.40209
2022,1179350.10956,1576992.71543
2023,1197343.73181,1594482.90344
2024,1215337.35406,1611973.09145
2025,1233330.9763,1629463.27945
2026,1257322.47263,1652783.53013
2027,1278315.03192,1673188.74947
2028,1296308.65417,1690678.93748
2029,1317301.21346,1711084.15682
2030,1332295.89866,1725659.31349
2031,1356287.39499,1748979.56417
