year,Base case cost,Modeled residential ashp
2017,152960.185872,239037.282277
2018,162873.881291,241424.684808
2019,181989.561291,250978.30823
2020,191805.721291,255021.011308
2021,198005.401291,256946.25532
2022,197662.284149,252786.470957
2023,200678.064149,252858.476761
2024,203693.844149,252970.220173
2025,206709.624149,253120.769862
2026,204861.079568,248028.790862
2027,208281.489568,248450.825399
2028,211213.269568,248628.421526
2029,208484.094987,242972.306726
2030,210857.244987,242869.084262
2031,214654.284987,243599.259579
