year,Base case cost,Modeled transmission and interties
2021,2135040.46145,2995318.44106
2022,2207488.85792,3069343.8184
2023,2267118.91641,3121491.63536
2024,2312939.16325,3166796.78154
2025,2366229.51037,3216476.02139
2026,2432934.71397,3285122.04822
2027,2487200.19178,3340395.97409
2028,2535849.13475,3385680.24894
2029,2597699.11365,3445335.35411
2030,2635189.89224,3478601.02131
2031,2704053.73011,3550684.00147
2032,2778697.53253,3629515.49268
2033,2856138.70706,3711715.27489
2034,2941816.73966,3799007.90069
2035,3000087.60761,3860629.50565
2036,3085950.86056,3948436.92997
2037,3144671.16025,4010920.80401
2038,3233669.54006,4106838.59936
2039,3311576.4893,4186611.79599
2040,3414500.44348,4298370.96181
