year,Base case cost,Modeled non-residential ashp
2017,60997.377847,227558.222407
2018,68169.8181027,225672.42495
2019,77972.1531188,223921.986858
2020,82753.7799559,222056.481116
2021,86100.9187419,220191.612656
2022,88491.7321605,218341.850111
2023,90404.3828953,216521.688195
2024,91838.8709465,214730.067817
2025,93512.4403395,212989.323409
2026,95664.1724162,211306.234657
2027,97337.7418092,209648.657436
2028,98772.2298603,208023.418086
2029,100923.961937,206460.734187
2030,102119.368646,204905.160836
2031,104271.100723,203418.116996
