year,Base case cost,Modeled solar power (pv)
2016,360743.876559,391424.043747
2017,445701.456458,474391.27298
2018,511861.213357,538889.045488
2019,600669.606118,625716.159202
2020,645326.778092,669096.459275
2021,678039.961099,700748.153792
2022,701938.834347,723733.395088
2023,721893.603599,742856.944509
2024,737408.532026,757621.145181
2025,755425.978095,774874.981848
2026,777685.787407,796328.39011
2027,796190.798819,814105.312414
2028,813120.075312,830353.211378
2029,832952.272271,849431.531963
2030,845534.999074,861394.72007
2031,868874.125518,884012.981184
2032,895103.234241,909537.666533
2033,922731.029016,936477.130443
2034,953244.720326,966289.872694
2035,974984.959308,987457.600954
