year,Base case cost,Modeled transmission and interties
2021,228959.430802,1614673.57285
2022,236665.704335,1621453.44566
2023,242729.515362,1627099.79242
2024,247887.492969,1631807.57758
2025,253379.944255,1636837.11196
2026,259968.682206,1643040.96272
2027,266237.899421,1648875.3774
2028,271565.868356,1653736.88801
2029,277935.821173,1659663.2618
2030,282980.471228,1664184.49881
2031,289817.900196,1670618.30815
2032,297402.189212,1677168.87313
2033,304343.501769,1683697.2101
2034,312037.970349,1690342.93231
2035,316611.996265,1695066.87107
2036,324400.117475,1702470.94833
2037,330110.566898,1706998.84145
2038,338002.571697,1714497.44634
2039,344515.757947,1720535.98079
2040,352129.952844,1727767.33367
