year,Base case cost,Modeled residential ashp
2017,295209.248392,306322.120303
2018,316577.098392,326705.551448
2019,345881.578392,354814.010581
2020,359923.308392,368093.158322
2021,369080.958392,376632.788732
2022,375796.568392,382806.815877
2023,380680.648392,387208.56979
2024,384954.218392,391024.914788
2025,389838.298392,395442.719761
2026,395332.888392,400461.798839
2027,400216.968392,404894.911293
2028,403880.028392,408148.350263
2029,414262.893717,418077.866002
2030,417351.893717,420788.481569
2031,423529.893717,426510.073668
