year,Base case cost,Modeled residential ashp
2017,327160.954353,533575.832201
2018,366882.124471,562599.063948
2019,423836.069988,604100.431817
2020,448838.499147,621970.902062
2021,470409.570149,638391.113848
2022,486612.708882,651028.273123
2023,496482.224853,658124.249517
2024,508685.548145,667950.253171
2025,521014.313503,677901.698891
2026,532461.016415,686178.642285
2027,546440.143251,697384.229543
2028,559113.874288,707680.640943
2029,570727.833287,716124.840423
2030,576534.812786,720346.940164
2031,593846.023095,734092.171016
