year,Base case cost,Modeled non-residential ashp
2017,925711.418371,1164359.85064
2018,979033.940232,1207237.29712
2019,1053685.47084,1269219.77178
2020,1087811.88483,1295213.81537
2021,1111273.79445,1311812.571
2022,1130469.90232,1324712.68227
2023,1141134.40669,1330112.41424
2024,1151798.91106,1335608.20957
2025,1164596.31631,1343097.50381
2026,1179526.62243,1352578.09824
2027,1192324.02768,1360248.47162
2028,1202988.53205,1366106.52708
2029,1215785.9373,1373949.59095
2030,1224317.54079,1378076.60244
2031,1239247.84691,1387984.04387
