year,Base case cost,Modeled residential ashp
2017,36037.1092273,370666.523245
2018,38704.9346924,365725.922842
2019,42456.8300392,361145.252201
2020,43913.5128334,355918.814935
2021,45332.9164123,351368.064587
2022,45633.0141635,345983.813195
2023,45433.0410883,340552.326417
2024,45206.131713,335204.581106
2025,44952.2860375,329937.983535
2026,44885.6244082,324794.370522
2027,44678.2322305,319697.979078
2028,44336.8435794,314653.127238
2029,44068.8447264,309695.092105
2030,43573.2573769,304775.21659
2031,43342.733255,299959.526747
