year,Base case cost,Modeled transmission and interties
2021,163800.113439,1800533.2717
2022,169997.955569,1807544.12723
2023,174434.355038,1812565.27291
2024,178385.108525,1817189.00475
2025,183177.544276,1822616.80646
2026,188296.34662,1828713.34608
2027,192924.818294,1834415.11249
2028,197051.247578,1839248.11374
2029,202608.068243,1845389.54396
2030,206555.698604,1849714.22519
2031,212792.579801,1856934.35013
2032,217935.586365,1863072.47958
2033,223998.353327,1869614.62442
2034,230123.582794,1876707.99944
2035,234260.943017,1881556.84443
2036,240493.139525,1888774.98891
2037,245360.530283,1893967.77513
2038,251712.186334,1901321.91172
2039,256939.517281,1907745.2285
2040,263660.482897,1915347.58371
