year,Base case cost,Modeled transmission and interties
2021,140000.8983,713848.979164
2022,144653.496129,718245.141846
2023,147614.240202,720899.757993
2024,150574.984275,723554.374141
2025,153535.728348,726208.990288
2026,157342.399298,729734.379703
2027,160726.10681,732824.382484
2028,163686.850883,735478.998631
2029,167385.192215,738862.709694
2030,169927.752096,741086.118547
2031,173741.591919,744618.147114
2032,177979.191722,748192.551678
2033,181793.031545,752118.410818
2034,186454.391328,756129.021953
2035,188996.95121,758746.261379
2036,193658.310993,762756.872515
2037,196200.870874,764980.281368
2038,200438.470677,768948.516505
2039,203828.55052,772044.338501
2040,208913.670283,776491.156207
