year,Base case cost,Modeled transmission and interties
2021,435441.43573,1929241.19764
2022,445567.980747,1918151.38682
2023,453357.63076,1904188.87664
2024,458810.385769,1889559.62409
2025,465821.070781,1876199.28425
2026,474389.685795,1865427.17474
2027,481400.370807,1853456.15032
2028,488678.511613,1841758.15884
2029,496484.877614,1831539.99855
2030,501168.697214,1818417.51703
2031,509755.699814,1809449.79753
2032,519452.643961,1802502.03075
2033,528058.034147,1794818.80441
2034,537445.732532,1787922.50935
2035,544081.979432,1778888.0071
2036,553489.737001,1773222.61076
2037,558977.595583,1763287.12508
2038,568385.353153,1758350.28097
2039,575441.17133,1750803.16351
2040,584848.928899,1747007.57767
