year,Base case cost,Modeled non-residential ashp
2017,41233.5914035,78125.839707
2018,44408.0496952,78985.0991639
2019,48565.0784104,80371.2763577
2020,50530.2192576,80640.9371075
2021,51890.7013826,80615.1628087
2022,52873.2718062,80410.9003025
2023,53629.095209,80105.9869371
2024,54158.1715909,79700.0310812
2025,54838.4126534,79388.2460742
2026,55669.8183964,79170.258518
2027,56350.0594589,78889.2271681
2028,56954.7181811,78583.9150137
2029,57710.5415839,78371.3317661
2030,58164.0356256,78016.4229098
2031,58995.4413686,77870.9290648
