year,Base case cost,Modeled residential ashp
2017,27024.4732148,98698.6332969
2018,29105.0114399,96050.3060713
2019,31829.5257823,93119.3748317
2020,33117.4780169,90940.1312145
2021,34009.1372562,88994.1209757
2022,34653.1133735,87206.5578011
2023,35148.4796176,85527.3223112
2024,35495.2359884,83955.6084269
2025,35941.0656081,82367.3937567
2026,36485.9684766,80761.9097504
2027,36931.7980962,79236.9941072
2028,37328.0910915,77767.2666977
2029,37823.4573356,76278.0706102
2030,38120.677082,74916.5891773
2031,38665.5799505,73460.3160881
