year,Base case cost,Modeled residential ashp
2017,14378.9244651,87371.2847747
2018,15515.52738,86664.8067558
2019,17082.1962627,86196.1326022
2020,17819.4522075,85354.4309223
2021,18341.6751684,84436.6570409
2022,18710.3031408,83471.9153988
2023,18986.7741201,82489.3259037
2024,20144.7261759,82446.060953
2025,20402.545992,81512.3814386
2026,20757.0482392,80652.8280928
2027,21014.8680553,79768.4761584
2028,21240.4603944,78891.5343218
2029,21562.7351645,78087.0047537
2030,22774.4430642,78257.9558696
2031,23111.8026275,77513.3742331
