year,Base case cost,Modeled non-residential ashp
2017,26075.0167886,79165.4870964
2018,28136.1542651,79970.5424419
2019,30977.1815977,81373.0577148
2020,32314.1356366,81672.9522816
2021,33261.1447474,81698.9475185
2022,33929.6217669,81533.5728764
2023,34430.9795315,81259.366773
2024,34820.9244595,80917.4206488
2025,35266.5758057,80631.7458205
2026,35879.3464069,80484.9063016
2027,36324.9977532,80227.8292497
2028,36714.9426812,79943.0947204
2029,37272.006864,79796.201863
2030,37606.2453738,79496.6454654
2031,38163.3095566,79375.7621143
