year,Base case cost,Modeled non-residential ashp
2017,199827.569404,184345.795424
2018,223170.667124,201328.786618
2019,254294.797416,223972.774877
2020,269856.862563,235294.769006
2021,280231.57266,242842.765092
2022,288877.164408,249132.76183
2023,294064.519457,252906.759873
2024,298387.315331,256051.758243
2025,304439.229555,260454.75596
2026,311355.702953,265486.75335
2027,316543.058002,269260.751393
2028,321730.413051,273034.749437
2029,327782.327274,277437.747153
2030,331240.563973,279953.745849
2031,338157.037372,284985.74324
