year,annotation,consumption,consumption residential,consumption non-residential
2003,,641179.0,349019.0,292160.0
2004,,719495.0,377462.0,342033.0
2005,,692025.0,377598.0,314427.0
2006,,699718.0,380809.0,318909.0
2007,,696133.0,376469.0,319664.0
2008,,660758.0,359294.0,301464.0
2009,,657728.0,323814.0,333914.0
2010,,664756.0,332779.0,331977.0
2011,,669570.0,339502.0,330068.0
2012,,682776.0,375244.0,307532.0
2013,,638790.0,340097.0,298693.0
2014,,572857.0,285260.0,287597.0
2015,,615767.0,291684.0,324083.0
2016,start of forecast,624830.0,321372.0,303458.0
2017,,622652.0,319194.0,303458.0
2018,,620528.0,317070.0,303458.0
2019,,618663.0,315205.0,303458.0
2020,,616683.0,313225.0,303458.0
2021,,614577.0,311119.0,303458.0
2022,,612495.0,309037.0,303458.0
2023,,610318.0,306860.0,303458.0
2024,,608197.0,304740.0,303458.0
2025,,606070.0,302612.0,303458.0
2026,,603970.0,300512.0,303458.0
2027,,601791.0,298333.0,303458.0
2028,,599637.0,296179.0,303458.0
2029,,598272.0,294815.0,303458.0
2030,,596722.0,293264.0,303458.0
2031,,594936.0,291478.0,303458.0
2032,,592563.0,289105.0,303458.0
2033,,590083.0,286625.0,303458.0
2034,,587711.0,284253.0,303458.0
2035,,585584.0,282127.0,303458.0
2036,,583788.0,280331.0,303458.0
2037,,582282.0,278824.0,303458.0
2038,,580774.0,277317.0,303458.0
2039,,579145.0,275687.0,303458.0
2040,,577402.0,273944.0,303458.0
