year,Base case cost,"Eagle (eagle village, american creek)"
2021,151055.958409,911066.283175
2022,155402.996217,898695.333624
2023,158442.962852,885691.646764
2024,160465.530354,872234.123217
2025,163223.573046,859658.620781
2026,167188.444082,848428.269621
2027,169885.070272,836468.562744
2028,171829.202241,824287.408787
2029,175226.91704,813572.481202
2030,177137.010948,801987.991997
2031,180978.309022,792230.419428
2032,184307.947698,782360.513024
2033,187809.605116,772850.687582
2034,191751.885978,763962.746154
2035,193556.905871,753725.056195
2036,197428.890737,745313.86634
2037,199979.39671,736253.739553
2038,203629.785657,728244.80799
2039,206780.354532,720089.923727
2040,210850.648103,712896.28463
2041,210189.125781,702232.377581
2042,209858.36462,692133.662579
2043,209196.842298,681933.122874
2044,208866.081137,672286.915015
2045,208535.319976,662859.037973
2046,207873.797654,653313.613411
2047,207543.036493,644307.166491
2048,207212.275332,635504.055956
2049,206881.51417,626899.516031
2050,206550.753009,618488.892852
2051,206550.753009,610598.402611
2052,206550.753009,602892.845731
2053,206550.753009,595367.887868
2054,206550.753009,588019.296142
2055,206550.753009,580842.937059
2056,206550.753009,573834.773898
2057,206550.753009,566990.86457
2058,206550.753009,560307.35934
2059,206550.753009,553780.498817
2060,206550.753009,547406.611544
2061,206550.753009,541182.112258
2062,206550.753009,535103.499678
2063,206550.753009,529167.354561
2064,206550.753009,523370.3379
2065,206550.753009,517709.188773
2066,206550.753009,512180.722811
2067,206550.753009,506781.830314
2068,206550.753009,501509.474317
2069,206550.753009,496360.689177
2070,206550.753009,491332.578704
