year,Base case cost,Modeled non-residential ashp
2017,187210.754273,222788.489055
2018,202755.19113,237812.790454
2019,223316.001039,257645.410722
2020,230954.342785,264930.060356
2021,241390.882276,275137.740245
2022,251117.156431,284676.765636
2023,253938.617157,287373.393851
2024,261993.209835,295323.959438
2025,264877.458262,298083.375355
2026,274081.830188,307142.109353
2027,282931.069446,315866.516101
2028,285439.255972,318270.675536
2029,294466.393719,327172.980773
2030,308633.146175,341256.511555
2031,312897.395424,345354.317458
