year,Base case cost,Modeled residential ashp
2017,151651.602175,243244.552646
2018,161913.927868,250912.476003
2019,182004.230416,267979.374693
2020,188438.981728,272406.76352
2021,192915.330467,275150.621335
2022,196272.592021,276943.821082
2023,198510.76639,277785.721
2024,200469.168963,278409.224481
2025,195671.578175,272266.97441
2026,205505.061295,280710.178602
2027,207743.235664,281652.91775
2028,209421.866441,282130.387004
2029,211939.812607,283364.57991
2030,221032.921697,291302.370955
2031,223638.263206,292668.728227
