year,Base case cost,Modeled transmission and interties
2021,234179.125839,1518249.6915
2022,239179.391871,1501686.22687
2023,242512.902559,1484108.65444
2024,245429.724411,1466301.24447
2025,248763.235099,1449677.71781
2026,252930.12346,1434268.69558
2027,256263.634148,1418555.0178
2028,258763.767164,1402861.57254
2029,262513.966688,1388392.68712
2030,265014.099704,1372875.75667
2031,268764.299228,1359569.79799
2032,272931.187588,1346704.77115
2033,277098.075948,1334229.64939
2034,281264.964308,1322135.29455
2035,283765.097325,1309239.83477
2036,288348.674521,1297922.11891
2037,290848.807537,1285744.40341
2038,295015.695897,1275085.94067
2039,298349.206585,1264011.48116
2040,302932.783781,1254398.56275
