year,Base case cost,Modeled residential ashp
2017,3683209.76769,4136620.29055
2018,4032264.81066,4297942.03507
2019,4648235.13462,4670660.82082
2020,4950899.62409,4839016.45547
2021,5160133.57224,4947672.68048
2022,5388870.45176,5086046.05323
2023,5578148.39127,5209254.00338
2024,5844719.24948,5410532.38071
2025,6110281.45718,5611561.39348
2026,6408475.76661,5836565.0586
2027,6626751.95387,5987074.18239
2028,6811182.80034,6109144.57531
2029,7843323.50711,7070216.45523
2030,8810480.54308,7985776.92474
2031,9740698.81653,8841559.85834
