year,Base case cost,Modeled residential ashp
2017,91954.1712342,529569.686882
2018,101875.487317,522481.735846
2019,114478.550903,515535.683825
2020,122927.838873,510377.164044
2021,130171.772189,505956.491107
2022,136949.246131,502009.614611
2023,144312.832993,499584.619094
2024,150211.438898,496376.43944
2025,156441.55212,493428.52169
2026,164433.793375,491917.719416
2027,171152.937665,489553.487806
2028,178630.388396,488612.831226
2029,185856.46418,486834.238839
2030,193278.07416,486407.929821
2031,201972.012127,486410.286173
