year,Base case cost,Modeled residential ashp
2017,1001607.17346,2024663.15935
2018,1079520.90383,2059173.29074
2019,1177216.44032,2103835.47447
2020,1224488.4741,2118360.98113
2021,1256003.16328,2123692.59627
2022,1281214.91463,2125536.42861
2023,1296972.25923,2121980.33691
2024,1309578.1349,2116826.17962
2025,1325335.4795,2113875.98757
2026,1347395.76193,2115027.35227
2027,1355802.98348,2105304.86813
2028,1360922.79432,2093820.63293
2029,1379627.69514,2093700.02934
2030,1384509.60785,2082516.043
2031,1387732.59729,2067439.06221
