year,Base case diesel consumed,Modeled solar power (pv)
2016,557278.259734,548741.596529
2017,550042.132746,541573.762847
2018,542902.487452,534501.864512
2019,536148.76893,527815.350974
2020,529395.050409,521128.299796
2021,522737.81358,514537.196972
2022,516177.058445,508042.04677
2023,510002.230082,501932.2985
2024,503634.438333,495629.066204
2025,497459.60997,489518.280818
2026,491188.299914,483310.501396
2027,484820.508165,477005.732035
2028,478259.75303,470507.495108
2029,472567.333133,464877.093275
2030,466874.913236,459246.195297
2031,460796.566567,453228.878371
2032,453656.921272,446149.774582
2033,446420.794285,438973.704768
2034,439184.667297,431797.154497
2035,432141.503696,424813.090998
