year,Base case cost,Modeled non-residential ashp
2017,625990.503896,734290.042959
2018,699063.325362,806809.458564
2019,801365.275415,910982.975234
2020,847644.729011,954909.920442
2021,881745.379028,985848.379085
2022,906102.986184,1006420.71255
2023,923153.311193,1019249.35901
2024,937767.875486,1029582.46698
2025,954818.200495,1042668.25811
2026,974304.286219,1058503.75472
2027,991354.611228,1071834.77813
2028,1005969.17552,1082658.48858
2029,1025455.26125,1098849.0191
2030,1037634.06482,1107275.48448
2031,1057120.15055,1123689.05245
