year,Base case diesel consumed,Point hope wind turbine design,Modeled wind power
2017,550042.132746,371425.574186,
2018,542902.487452,364285.928892,
2019,536148.76893,357532.21037,339593.793679
2020,529395.050409,350778.491848,332840.075157
2021,522737.81358,344121.25502,326182.838328
2022,516177.058445,337560.499884,319622.083193
2023,510002.230082,331385.671522,313447.25483
2024,503634.438333,325017.879772,307079.463081
2025,497459.60997,318843.05141,300904.634719
2026,491188.299914,312571.741354,294633.324663
2027,484820.508165,306203.949605,288265.532914
2028,478259.75303,299643.194469,281704.777778
2029,472567.333133,293950.774573,276012.357881
2030,466874.913236,288258.354676,270319.937985
2031,460796.566567,282180.008006,264241.591315
2032,453656.921272,275040.362712,257101.946021
2033,446420.794285,267804.235724,249865.819033
2034,439184.667297,260568.108737,242629.692046
2035,432141.503696,253524.945136,235586.528444
2036,425291.303481,246674.744921,228736.32823
2037,418634.066653,,222079.091401
2038,411783.866438,,215228.891186
