year,Base case cost,Point hope wind turbine design,Modeled wind power
2017,1413608.28116,1213620.63733,
2018,1558130.13899,1296684.07588,
2019,1763929.44978,1418886.40284,1796091.1595
2020,1842294.77542,1456478.50863,1820972.56067
2021,1892310.88516,1475131.23661,1828061.54596
2022,1920178.65741,1479186.28338,1821508.36197
2023,1932908.45201,1473794.89786,1806272.92568
2024,1938992.58758,1463734.19984,1786754.72675
2025,1950041.67108,1456899.66504,1770471.72345
2026,1964753.19966,1451986.03966,1756114.08125
2027,1973219.46823,1442795.24654,1737852.07628
2028,1975212.78001,1429096.96538,1715451.01969
2029,1989508.47249,1424095.50021,1701551.7093
2030,1988887.13039,1409849.71959,1679140.9144
2031,1999857.0989,1401728.58248,1662465.04496
2032,2009700.16124,1390723.8004,1642884.66622
2033,2017821.99017,1378094.87311,1621841.81117
2034,2024641.31624,1364258.25565,1599749.1459
2035,2018100.82226,1342722.88012,1570671.14224
2036,2024386.60457,1328535.72988,1548532.68961
2037,2017816.20127,,1519901.10134
2038,2021858.78421,,1495984.61022
