year,Base case cost,Modeled residential ashp
2017,473104.115924,756215.728713
2018,535395.698431,814619.355285
2019,621845.673627,901972.686076
2020,666324.864637,939188.224756
2021,702042.822871,966127.52694
2022,730594.238456,984747.43338
2023,753672.274286,997103.441766
2024,775081.765414,1007732.90405
2025,798824.492429,1021370.29318
2026,824974.309907,1038082.32257
2027,849430.964491,1053021.7603
2028,872120.601605,1066107.94142
2029,899378.237725,1084779.23898
2030,920547.03929,1096522.31245
2031,948518.602979,1116442.43052
