year,Base case cost,Modeled non-residential ashp
2017,65640.1800443,93074.1641798
2018,69854.9917995,97134.3260624
2019,75274.0354847,102447.916931
2020,77802.9225378,104777.182801
2021,79609.2704329,106365.390607
2022,80813.502363,107337.017049
2023,81776.887907,108065.812426
2024,82499.427065,108551.625827
2025,83342.3894161,109168.214708
2026,84426.1981531,110040.070092
2027,85269.1605041,110668.511665
2028,85991.6996622,111178.037116
2029,86955.0852062,111942.417237
2030,87557.2011712,112338.346424
2031,88520.5867153,113113.506505
