year,Base case cost,Modeled transmission and interties
2021,368257.030007,2065396.23963
2022,390840.398958,2088660.1503
2023,411185.463756,2110074.63586
2024,428725.944495,2128307.8084
2025,446165.472826,2146674.09959
2026,463609.733302,2164244.37765
2027,480126.493536,2181634.39541
2028,495969.71193,2198191.3444
2029,500660.844099,2203319.90453
2030,503903.940178,2206418.25913
2031,516991.473333,2220002.23495
2032,538098.41333,2241983.22522
2033,562336.455328,2267238.25221
2034,587177.057007,2292623.78409
2035,602685.870552,2309315.48155
2036,619710.547585,2327149.31297
2037,626882.900636,2333979.60639
2038,640038.261189,2347764.61781
2039,654195.258908,2362177.73688
2040,675655.532329,2384784.43638
