year,Base case cost,Modeled transmission and interties
2021,104529.246851,862784.23503
2022,108013.55508,852899.679218
2023,110157.24311,841789.280545
2024,112242.238248,830908.199767
2025,114327.233386,820957.08937
2026,117454.726092,811610.303318
2027,119565.80696,801628.710328
2028,121645.212298,792190.352592
2029,123737.660502,783048.684701
2030,125465.840118,773813.725677
2031,128576.563427,765783.620957
2032,131332.33448,757696.056622
2033,134089.9688,750148.627569
2034,137165.290046,742833.965738
2035,139227.925987,734800.411797
2036,142321.879898,728253.600414
2037,143993.229887,720643.889241
2038,147078.799099,714524.160713
2039,149821.527288,707670.647829
2040,152833.497475,701921.964731
