year,Base case cost,Modeled non-residential ashp
2017,164737.208176,264381.338855
2018,177691.184643,276864.197082
2019,195734.223294,294700.7323
2020,204524.42161,302874.066856
2021,210538.767827,308165.168998
2022,215165.187994,312026.661619
2023,218403.682111,314457.992084
2024,221179.534211,316427.413237
2025,223955.386311,318418.794306
2026,228119.164461,321884.809401
2027,231357.658578,324402.974578
2028,234133.510678,326457.195256
2029,237372.004795,329015.784622
2030,239685.214878,330625.085785
2031,243848.993028,334191.0192
