year,Base case cost,Modeled residential ashp
2017,153874.877027,371955.752007
2018,165974.702913,381724.059075
2019,182828.031826,396647.303444
2020,191038.627962,402405.218775
2021,196656.404267,405462.539474
2022,200977.770655,407203.27171
2023,204002.727126,407625.796539
2024,206595.546959,407652.308946
2025,209188.366792,407743.152964
2026,213077.596541,409282.484813
2027,225954.26717,419811.106245
2028,228665.288845,420204.240853
2029,231828.147466,421137.473012
2030,234087.332195,421164.666529
2031,238153.864707,423174.012037
