year,Base case cost,Modeled transmission and interties
2021,331582.745137,1536315.46369
2022,342837.511943,1545819.68803
2023,350629.273578,1552041.67342
2024,356689.532627,1557397.90751
2025,364481.294262,1563619.89289
2026,373138.80719,1571050.1221
2027,380930.568825,1577659.79158
2028,387856.579168,1583448.90131
2029,395757.385813,1589858.58313
2030,400941.980387,1594385.60161
2031,410447.070439,1602233.70055
2032,419952.160491,1610081.79948
2033,430321.349639,1618748.89221
2034,439826.439692,1626983.93538
2035,446739.232457,1632761.9972
2036,457108.421605,1641429.08992
2037,462271.537616,1645647.2075
2038,473483.347297,1654728.9518
2039,481245.369384,1661313.39353
2040,492457.179065,1670781.3422
