year,Base case cost,Modeled residential ashp
2017,1832653.53244,2116238.42481
2018,1965435.45706,2240229.16003
2019,2154765.53137,2417691.12865
2020,2248608.37293,2506039.47683
2021,2305570.86146,2559265.70987
2022,2349130.41151,2599968.12337
2023,2390359.46728,2639219.16153
2024,2417290.09025,2664391.54662
2025,2444220.71323,2689563.93171
2026,2492743.78181,2735669.42321
2027,2534814.87319,2775762.49698
2028,2570340.42786,2809749.5935
2029,2604471.50413,2841682.87242
2030,2636942.59596,2872835.28584
2031,2686822.27747,2920297.39027
